title, date, genre, rating
The Godfather,1972,Crime;Drama,9.2
The Shawshank Redemption,1994,Drama,9.3
Schindler's List,1993,Biography;Drama;History,8.9
Raging Bull,1980,Biography;Drama;Sport,8.2
Casablanca,1942,Drama;Romance;War,8.5
Citizen Kane,1941,Drama;Mystery,8.4
Gone With The Wind,1939,Drama;History;Romance,8.2
The Wizard Of Oz,1939,Adventure;Family;Fantasy,8.0
One Flew Over The Cuckoo's Nest,1975,Drama,8.7
Lawrence Of Arabia,1962,Adventure;Biography;Drama,8.3
Vertigo,1958,Mystery;Romance;Thriller,8.3
Psycho,1960,Horror;Mystery;Thriller,8.5
The Godfather Part II,1974,Crime;Drama,9.0
On The Waterfront,1954,Crime;Drama;Thriller,8.2
Sunset Boulevard,1950,Drama;Film-Noir,8.4
Forrest Gump,1994,Drama;Romance,8.8
12 Angry Men,1957,Crime;Drama,8.9
Star Wars,1977,Action;Adventure;Family,8.6
Titanic,1997,Drama;Romance,7.8
Pulp Fiction,1994,Crime;Drama,8.9
The Green Mile,1999,Crime;Drama;Fantasy,8.5
Good Will Hunting,1997,Drama;Romance,8.3
Goodfellas,1990,Crime;Drama,8.7
Braveheart,1995,Biography;Drama;History,8.4
Gladiator,2000,Action;Adventure;Drama,8.5
The Lord Of The Rings - The Return Of The King,2003,Action;Adventure;Drama,8.9
The Pianist,2002,Biography;Drama;Music,8.5
The Great Dictator,1940,Comedy;Drama;War,8.5
Rear Window,1954,Mystery;Thriller,8.5
The Good The Bad And The Ugly,1966,Western,8.9
